Master Inventory Row #,Previous NSN/Identifier,New NSN/Identifier,Action Taken,Source Sheet + Row Reference,Notes / Reason
955,MED TECH TRIAL BAGS PRINTOUT,LOCAL-0019,LOCAL PLACEHOLDER,"MT Bag, Row 95",Non-standard identifier for MT Bag printout. No real NSN in source.
958,PAMPHLET11,LOCAL-0020,LOCAL PLACEHOLDER,"MT Bag Meds, Row 49",Non-standard identifier for AEC protocols pamphlet. No real NSN in source.
947,BOOK40,LOCAL-0021,LOCAL PLACEHOLDER,"Maritime MASCAL, Row 141",Non-standard identifier for Military First Aid book. No real NSN in source.
814,6545-20-A0M-1004,6545-20-A0M-1004,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
815,6545-20-A0M-1006,6545-20-A0M-1006,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
816,6545-20-A0U-7793,6545-20-A0U-7793,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
817,6545-20-A0U-8722,6545-20-A0U-8722,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
818,6545-20-A0U-8754,6545-20-A0U-8754,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
819,6545-20-A0U-8755,6545-20-A0U-8755,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
820,6545-20-A0U-8757,6545-20-A0U-8757,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
821,6545-20-A0U-8758,6545-20-A0U-8758,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
822,6545-20-A0U-8759,6545-20-A0U-8759,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
823,6545-20-A0U-8760,6545-20-A0U-8760,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
824,6545-20-A0U-8761,6545-20-A0U-8761,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
825,6545-20-A0U-8762,6545-20-A0U-8762,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
826,6545-20-A0U-8763,6545-20-A0U-8763,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
827,6545-20-A0U-8764,6545-20-A0U-8764,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
828,6545-20-A0U-8765,6545-20-A0U-8765,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
829,6545-20-A0U-8766,6545-20-A0U-8766,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
830,6545-20-A0U-8767,6545-20-A0U-8767,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
831,6545-20-A0U-8770,6545-20-A0U-8770,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
832,6545-20-A0U-9002,6545-20-A0U-9002,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
833,6545-21-111-8439,6545-21-111-8439,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
835,6545-21-912-4985,6545-21-912-4985,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
836,6545-21-912-4986,6545-21-912-4986,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
837,6545-21-920-2280,6545-21-920-2280,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
841,6545-CF-002-0270,6545-CF-002-0270,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
842,6545-CF-002-0271,6545-CF-002-0271,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
844,6545-CF-002-1002,6545-CF-002-1002,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
848,6545-CF-002-8529,6545-CF-002-8529,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
849,6545-CF-005-0438,6545-CF-005-0438,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
850,6545-CF-005-0858,6545-CF-005-0858,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
851,6545-CF-005-0860,6545-CF-005-0860,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
852,6545-CF-005-0890,6545-CF-005-0890,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
905,6640-20-010-9275,6640-20-010-9275,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
906,6640-20-010-9276,6640-20-010-9276,REMOVED — Kit parent NSN,N/A,Moved to 'Kit NSNs (Reference)' sheet. Kit parent NSNs are not countable stock items.
