NSN,Description,Unit of Measure,Total Quantity,Kit Count,Unit Price,Accountability Code,Source,Is Kit,Kit Membership
6135-21-892-7267,BATTERY 1.5V TYPE AA,EA,30,4,0.48,C,ExternalRqn,,"TREATMENT KIT, DIAGNOSTIC AND SCOPES, MAJOR NAVAL WARSHIP (6545-20-A0U-8767) x6; TREATMENT KIT, GENERAL SUPPLY (DSC) (6545-20-A0U-8770) x10; TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x10; KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x4"
6135-21-892-7268,BATTERY 1.5V TYPE D,EA,4,1,1.16,D,ExternalRqn,,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x4"
6150-01-680-2292,"CORD, ELECTRICAL, PUMP, INTRAVENOUS INFUSION",EA,1,1,169.24,D,WHSE,,"TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x1"
6150-12-395-0168,"CABLE, COMBI LEAD POWER CABLE-TRIPLE TAIL, FOR USE WITH B BRAUN SPACE PUMP",EA,1,1,212.47,D,WHSE,,"TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x1"
6230-00-125-5528,FLASHLIGHT DISP 11CM LG,EA,12,3,3.02,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10; KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x1; KIT, TREATMENT, MED TECH, BAG (6545-CF-002-1002) x1"
6230-00-161-6422,"FLASHLIGHT, CFSS ITEM - CONTAINED IN MEDICAL KITS/SETS; 2 CELL, WITHOUT BATTERIES",EA,1,1,0,C,ExternalRqn,,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x1"
6230-20-000-9253,LIGHT HEADBAND GEN PURP,EA,16,2,24,C,ExternalRqn,,"TREATMENT KIT, GENERAL SUPPLY (DSC) (6545-20-A0U-8770) x15; KIT, TREATMENT, MED TECH, BAG (6545-CF-002-1002) x1"
6230-CF-001-9910,VAGINAL SPECULUM ILLUMINATION SYSTEM CORDLESS WITH CHARGING STATION,EA,1,1,330.44,D,WHSE,,"TREATMENT KIT, DIAGNOSTIC AND SCOPES, MAJOR NAVAL WARSHIP (6545-20-A0U-8767) x1"
6240-00-295-2652,BULB REPLACEMENT 6IN,EA,1,1,11.86,C,WHSE,,"TREATMENT KIT, DIAGNOSTIC AND SCOPES, MAJOR NAVAL WARSHIP (6545-20-A0U-8767) x1"
6240-01-465-7702,"LAMP,ULTRAVIOLET",EA,2,2,248.32,D,WHSE,,"TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x1; TREATMENT KIT, WATER TESTING (6545-20-A0U-8759) x1"
6240-01-465-7712,"BULB, LIGHT, ULTRAVIOLET",EA,2,2,51.02,C,WHSE,,"TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x1; TREATMENT KIT, WATER TESTING (6545-20-A0U-8759) x1"
6240-CF-001-7021,LAMP(BULB)OTOSCOPE 2.5V,EA,1,1,20.95,C,WHSE,,"TREATMENT KIT, DIAGNOSTIC AND SCOPES, MAJOR NAVAL WARSHIP (6545-20-A0U-8767) x1"
6240-CF-002-6268,LAMP RP 2.5V OP PCKTSCP,EA,1,1,30,C,WHSE,,"TREATMENT KIT, DIAGNOSTIC AND SCOPES, MAJOR NAVAL WARSHIP (6545-20-A0U-8767) x1"
6240-CF-002-8108,LAMP HALO 3.5V MACROVIEW,EA,2,2,23.94,C,WHSE,,"TREATMENT KIT, DIAGNOSTIC AND SCOPES, MAJOR NAVAL WARSHIP (6545-20-A0U-8767) x1; KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x1"
6505-00-299-8614,PROCAINAM 100MG/ML-10ML,BT,20,1,84.63,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x20"
6505-00-584-3131,LIDOCAINE 2% JELLY 30ML,TU,6,1,21.11,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x6"
6505-00-598-6117,LIDOCAINE 2% INJ 20ML,BT,5,1,6.98,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x5"
6505-00-935-1000,THIAMINE HCL 100MG/ML,BT,1,1,16.63,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x1"
6505-00-963-5355,DEXAM INJ 4MG/ML-5ML MUL,BT,7,2,8.21,D,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x5"
6505-01-015-1405,CLOTRIMAZOLE CRM 1%-30GM,TU,72,1,10.43,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x72"
6505-01-063-9993,LUBRICANT SURGICAL 3.5G,EA,105,2,0.17,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x100; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x5"
6505-01-074-7588,CEFOXITIN PWDR INJ 1GM,BT,12,2,10.6,D,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-01-131-3855,VERAPAMIL INJ 5MG/2ML,EA,5,1,33.37,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x5"
6505-01-215-4825,INSULIN (REG) HUMULIN-R,EA,10,1,22.43,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-01-236-8880,ENALAPRIL MALEATE 5MG,EA,100,1,0.09,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x100"
6505-01-256-4972,PERMETHRIN 1% CRM RINSE,BT,10,1,12.11,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-01-273-8650,CIPROFLOXACIN TB 500MG,EA,200,1,0.31,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x200"
6505-01-302-0220,MUPIROCIN OINT 2% - 15GM,TU,10,1,7.6,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-01-534-2779,"DEXTROSE 5%, FOR INJECTION, 500ML, IV BAG",EA,2,1,6.13,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x2"
6505-20-001-0114,AZITHROMYCIN IV 500MG,VI,5,1,18.16,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x5"
6505-20-001-0606,ENOXAPARIN SOD 100MG/ML,EA,10,1,7.09,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-20-001-1183,BECLO DIP QVAR 50MCG,CN,3,1,43.9,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x3"
6505-20-001-1495,CLOPIDOGREL BISULFATE TA,EA,28,1,2.82,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x28"
6505-20-001-2711,PANTOPRAZOLE 40MG/10ML,VI,10,1,10.96,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-20-001-2721,PANTOPRAZOLE TB-DELAYED RELEASE 40MG,EA,200,1,0.15,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x200"
6505-20-002-1827,DIPHENH INJ 50MG/ML-1ML,EA,51,3,4.04,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x30; KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x20; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-20-002-2014,DIMENHYDRINATE CAPLET,EA,2016,1,0.4,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2016"
6505-20-002-2214,METOPROLOL TARTR 1MG/ML,EA,5,1,6.37,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x5"
6505-20-002-2285,AMIODARONE 50MG/ML,VI,10,1,53.35,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10"
6505-20-002-2287,LIDOCAINE SOLN 10MG/DOSE,EA,3,1,82.02,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x3"
6505-20-002-2937,NITRO PATCH 0.2MG/H DISC,BX,1,1,13.39,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x1"
6505-20-010-9611,"IRRIGATION SOLUTION, OPTHALMIC, 120ML",BT,25,2,4.41,C,WHSE,,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x1; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x24"
6505-20-011-3051,NALOXONE HCL .4MG/ML,VI,1,1,138.45,D,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-20-011-3740,"LEVONORGESTREL, 1.5MG, TABLET",EA,2,1,4.3,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2"
6505-20-011-3933,ZOPICLONE 7.5MG TABS,EA,100,1,0.12,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-20-011-3951,FEXOFENADINE HCL 60 MG,PG,1,1,11,C,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-20-011-4032,LORATADINE TB 10MG,EA,300,1,0.63,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x300"
6505-20-011-4045,"CEPHALEXIN, 500MG, TABLET",EA,200,1,0.09,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x200"
6505-20-011-4194,CITALOPRAM HYDRO TB 20MG,EA,100,1,0.13,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-20-011-4229,QUETIAPINE TABLET 25MG,EA,100,1,0.04,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-20-011-4586,"VACCINE, COMBINED, TD, TD ADSORBED, 1 DOSE VIAL",VI,10,1,26.15,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-20-011-4591,TOBRAMYCIN OPHTHALMIC OINTMENT 3MG/G,TU,12,1,10.02,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x12"
6505-20-011-4598,POLYMYXIN B SULFATE AND GRAMICIDIN OPHTHALMIC SOLN 10000 UNITS AND 25UG/ML IN 10-15ML DROPPER BOTTLE,BT,13,2,14.26,,WHSE,,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x1; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x12"
6505-20-012-2554,"KETAMINE HYDROCHLORIDE 50MG/ML, 10ML VIAL",VI,1,1,55.1,C,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-20-012-2830,CODEINE PHOSPHATE AND ACETAMINOPHEN TABLETS,EA,200,1,0.09,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x200"
6505-20-012-3134,FAMOTIDINE 20MG TABLET,EA,500,1,0.48,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x500"
6505-20-012-4826,"LUBRICATING GEL, SURGICAL",TU,4,3,1.85,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x2; KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x1; KIT, TREATMENT, MED TECH, BAG (6545-CF-002-1002) x1"
6505-20-012-6991,SALBUTAMOL SULFATE 1MG/ML 2.5ML NEBULE INHALATION SOLUTION,PG,21,2,7.23,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x20; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-20-012-7613,"APPLICATOR,SILVER NITRATE",PG,1,1,30.67,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x1"
6505-20-012-9775,BENZTROPINE 1 MG TABLET,EA,1000,1,0.06,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x1000"
6505-20-013-2414,"SODIUM THIOSULFATE 250MG/ML, 50ML VIAL",VI,10,1,121.8,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-20-013-3462,POVIDONE-IODINE TOPICAL SOLUTION 10% (450 ML) ),BT,2,1,9.11,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2"
6505-21-114-6151,BISACODYL SUPPS 10MG,EA,10,1,0.48,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-21-114-6342,SOD PHOSPH ENEMA 100ML,BT,6,1,3.38,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-21-114-6670,BISACODYL TB-EC 5MG,EA,200,1,0.07,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x200"
6505-21-114-6675,CALCIUM GLUCON 10% INJ,EA,2,1,20.23,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x2"
6505-21-114-6713,DIMENHYD TB 50MG,EA,100,1,0.14,C,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x100"
6505-21-114-6714,"DIPHENHYDRAMINE HCL, 50MG, CAPSULES OR TABLETS",EA,300,2,0.13,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x200; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x100"
6505-21-114-6715,PHENYTOIN CP-SR 100MG,EA,100,1,0.11,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x100"
6505-21-114-6722,EPINEPHRINE 1 MG/ML INJ,AM,12,2,1.67,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2"
6505-21-114-6763,(D)ANESTHETIC LIDOCAINE,BX,0.2,1,9.4,C,WHSE,,"KIT, R1, DENTAL EMERGENCY, PA/MO (6545-CF-005-0890) x0.2"
6505-21-114-6764,LIDOCAINE 2% W/EPI 20ML,BT,4,2,10.15,D,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2"
6505-21-116-0041,PENICILLIN-VK TB 300MG,EA,500,1,0.19,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x500"
6505-21-116-0043,PREDNISONE TABS 5MG,EA,100,1,0.02,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-21-116-0061,PROTAMINE SULFATE 10 MG,BT,2,1,11.05,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2"
6505-21-116-0364,LIDOCAINE 1% W/EPI (1:1),BT,2,1,13,C,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2"
6505-21-843-5280,AMPICILLIN SODIUM 500MG,BT,20,1,3.09,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x20"
6505-21-843-5826,BACITRACIN ZINC OINT,TU,52,3,4.95,C,WHSE,,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x2; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x48"
6505-21-843-7900,NOREPINEPHRINE 1MG/ML,EA,10,1,7.83,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10"
6505-21-844-4002,"ZINC OXIDE 15%, OINTMENT, 30 AND 60G TUBE",TU,24,1,3.21,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x24"
6505-21-844-6131,MORPH SULF 10MG/ML-1ML,EA,16,2,2.31,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x6"
6505-21-846-1276,DIAZEPAM N-CHW TB-SC 5MG,EA,100,1,0.17,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x100"
6505-21-846-8247,ANTACID & ANTIFLATULENT,BT,48,1,3.87,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x48"
6505-21-846-9956,BENZTROP MESYL 1MG/ML,EA,6,1,24.45,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-21-847-0131,(D)TRIAMCINOL .1% 7.5GR,TU,13,2,11.71,D,WHSE,,"KIT, R1, DENTAL EMERGENCY, PA/MO (6545-CF-005-0890) x1; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x12"
6505-21-847-0464,HYDROXYZINE 25MG CAPSULE,EA,100,1,0.24,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-21-847-5381,METRONIDAZOLE 250 MG,EA,500,1,0.06,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x500"
6505-21-848-2656,HYOSC BUTYLBROM TB 10MG,EA,100,1,0.27,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-21-853-7587,MINERAL OIL (USP)250ML,BT,2,1,6.48,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2"
6505-21-853-8337,PETROLATUM WHITE 25-50G G,TU,48,1,1.33,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x48"
6505-21-855-2221,"SODIUM CHLORIDE 0.9%, FOR INJECTION, 500ML, IV BAG",BG,11,2,2.67,C,WHSE,,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP (6545-20-A0U-8761) x10; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-21-855-3740,"DEXTROSE 5% & SODIUM CHLORIDE 0.9%, FOR INJECTION, 1000ML, IV BAG",BG,12,1,3.33,C,WHSE,,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP (6545-20-A0U-8761) x12"
6505-21-855-3741,"DEXTROSE 5%, FOR INJECTION, 1000ML, IV BAG",BG,12,1,2.94,C,WHSE,,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP (6545-20-A0U-8761) x12"
6505-21-855-3742,"LACTATED RINGER'S, FOR INJECTION, 1000ML, IV BAG",BG,56,3,4,C,WHSE,,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP (6545-20-A0U-8761) x24; KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x30; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2"
6505-21-855-3743,"SODIUM CHLORIDE 0.9%, FOR INJECTION, 1000ML, IV BAG",BG,48,1,2.89,C,WHSE,,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP (6545-20-A0U-8761) x48"
6505-21-857-5596,"BENZOIN TINCTURE COMPOUND, 50ML-100ML BOTTLE",BT,2,1,11.04,C,WHSE,,"TREATMENT KIT, BANDAGES/DRESSINGS AND TRAYS, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-8755) x2"
6505-21-860-6967,HYDROCORTISONE 1% CREAM,TU,32,1,3.11,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x32"
6505-21-866-7634,GENTAM INJ MULTI 40MG/ML,EA,10,1,4,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
